codist,Countname,distname,year,four_day,perstuchar,leaid,urban,suburb,town,rural,perind,perasn,perhsp,perblk,perwht,perfrl,pernonfrl,perell,perspeced,member,stutch_all,sample,ever4day
03C022,ATOKA,LANE,2011,0,0,4017040,0,0,0,1,.625,.0078125,.0703125,.015625,.28125,.71859294,.28140706,0,.28643215,199,14.42029,1,0
03C022,ATOKA,LANE,2016,0,0,4017040,0,0,0,1,.48319328,.012605042,.021008404,0,.48319328,.6042403,.3957597,0,.40636042,283,13.579655,1,0
03C022,ATOKA,LANE,2010,0,0,4017040,0,0,0,1,.57983196,0,.016806724,.033613447,.36974791,.67123288,.32876712,0,.32876712,219,15.21,1,0
03C022,ATOKA,LANE,2013,0,0,4017040,0,0,0,1,.47872341,.010638298,.04255319,0,.46808511,.72289157,.27710843,0,.31726909,249,16.490067,1,0
03C023,ATOKA,FARRIS,2013,0,0,4011450,0,0,0,1,.64945382,0,0,0,.35054618,.65454543,.34545457,0,.25454545,55,13.414635,1,0
03C023,ATOKA,FARRIS,2010,0,0,4011450,0,0,0,1,.58333331,0,0,0,.41666666,.79545456,.20454544,0,.21590909,88,12.05,1,0
03C023,ATOKA,FARRIS,2009,0,1.3333334,4011450,0,0,0,1,.19354838,0,0,0,.80645162,.57333332,.42666668,0,0,75,11.9,1,0
03C023,ATOKA,FARRIS,2012,0,0,4011450,0,0,0,1,.72222221,0,0,0,.27777779,.7638889,.2361111,0,.2638889,72,9.7297297,1,0
03C023,ATOKA,FARRIS,2011,0,0,4011450,0,0,0,1,.63636363,0,0,0,.36363637,.76999998,.23000002,0,.18000001,100,12.048192,1,0
03I007,ATOKA,STRINGTOWN,2009,0,0,4029010,0,0,0,1,.67105263,0,0,.013157895,.31578946,.5625,.4375,0,0,112,12.9,1,0
03I007,ATOKA,STRINGTOWN,2012,0,.52356023,4029010,0,0,0,1,.72972971,0,.013513514,0,.25675675,.64655173,.35344827,0,.24607331,116,11.717173,1,0
03I007,ATOKA,STRINGTOWN,2016,0,1.1806376,4029010,0,0,0,1,.67441863,0,.011627907,.011627907,.30232558,.62758619,.37241381,0,.29365081,145,13.809524,1,0
03I007,ATOKA,STRINGTOWN,2014,0,.42918456,4029010,0,0,0,1,.61842108,0,0,.013157895,.36842105,.65925926,.34074074,0,.27467811,135,14.673913,1,0
03I007,ATOKA,STRINGTOWN,2010,0,0,4029010,0,0,0,1,.57317072,0,.024390243,0,.40243903,.55384618,.44615382,0,.10962567,130,14.77,1,0
03I007,ATOKA,STRINGTOWN,2013,0,0,4029010,0,0,0,1,.67162406,0,0,.00072992698,.32764599,.71014494,.28985506,0,.28125,138,14.226805,1,0
03I007,ATOKA,STRINGTOWN,2015,0,.79365081,4029010,0,0,0,1,.67441863,0,.011627907,.011627907,.30232558,.62758619,.37241381,0,.29365081,145,13.809524,1,0
03I007,ATOKA,STRINGTOWN,2011,0,.51546389,4029010,0,0,0,1,.64788735,0,0,.014084507,.33802816,.64912283,.35087717,0,.13917525,114,11.287128,1,0
03I015,ATOKA,ATOKA,2009,0,1.146789,4003360,0,0,1,0,.45679012,.0061728396,.021604938,.098765433,.41666666,.68310875,.31689125,0,0,569,11.957408,1,0
03I015,ATOKA,ATOKA,2010,0,1.3550136,4003360,0,0,1,0,.40061161,.0030581041,.03058104,.11009175,.45565748,.73368531,.26631472,0,.23229167,579,12.051376,1,0
03I015,ATOKA,ATOKA,2016,0,1.6051364,4003360,0,0,0,1,.29697046,.01953995,.068478376,.093344927,.52166629,.66983998,.33015999,0,.27842721,647,14.975718,1,0
03I015,ATOKA,ATOKA,2015,0,1.4880953,4003360,0,0,0,1,.29697046,.01953995,.068478376,.093344927,.52166629,.66983998,.33015999,0,.27842721,647,14.975718,1,0
03I015,ATOKA,ATOKA,2013,0,.9661836,4003360,0,0,0,1,.30582175,.01214808,.053487949,.11095053,.51759171,.61464489,.38535511,0,.23913044,548,12.260861,1,0
03I015,ATOKA,ATOKA,2014,0,.94966763,4003360,0,0,0,1,.29770255,.016641458,.076289721,.11249141,.49687487,.6334728,.36652723,0,.23990498,578,12.730212,1,0
03I015,ATOKA,ATOKA,2011,0,1.183432,4003360,0,0,1,0,.37829912,.011730205,.014662757,.093841642,.50146627,.64563429,.35436571,0,.21959096,593,13.375633,1,0
03I015,ATOKA,ATOKA,2012,0,1.459854,4003360,0,0,0,1,.36061814,.011299435,.057527419,.094882019,.47567299,.62921304,.37078696,0,.22895622,608,13.983786,1,0
03I019,ATOKA,TUSHKA,2010,0,.67888665,4030360,0,0,0,1,.30978259,0,.0054347827,0,.68478262,.54612547,.45387453,0,.1561086,271,14.11,1,0
03I019,ATOKA,TUSHKA,2015,0,.43956044,4030360,0,0,0,1,.28411165,0,.012427365,.0013360479,.70212495,.5,.5,0,.18021978,274,16.60606,1,0
03I019,ATOKA,TUSHKA,2009,0,1.5384616,4030360,0,0,0,1,.36871508,0,.005586592,0,.62569833,.52767527,.47232473,0,0,271,14.1,1,0
03I019,ATOKA,TUSHKA,2011,0,.63011974,4030360,0,0,0,1,.2918919,0,.0054054055,0,.7027027,.54827589,.45172411,0,.14915967,290,15.675675,1,0
03I019,ATOKA,TUSHKA,2013,0,.9066183,4030360,0,0,0,1,.33320272,0,.0096656214,0,.65713167,.57835823,.42164177,0,.18820861,268,15.764706,1,0
